gene_names pg_X1_n1 pg_X2_n1 pnl_X2_n1 pg_X1_n1n2 pg_X2_n1n2 pnl_X2_n1n2 pg_X1 pg_X2 pnl_X2 stage1_fstat stage1_X2_fstat num_snps n1_size n2_size gene_ind
ENSG00000117408.10 0.7725986036021113 0.39954699947958827 0.18571200845480976 0.6290714144988481 0.7334602340379346 0.5340706601074156 0.4366628271321178 0.46732255859703176 0.33838489081792855 16.80333377392756 6.822673662549378 4 40000 138162 639
ENSG00000159214.12 0.30268718686618246 0.3277395021603321 0.27965915520671836 0.7072625496267206 0.3680307159628796 0.17283914152628946 0.028329825999664725 0.04005794757902292 0.2021061289778509 21.54723088742522 7.064186221627056 14 40000 138162 643
ENSG00000142937.11 0.22611249751255375 0.09278263745252975 0.06971105028999067 0.613174486073438 0.05536726029371928 0.018672436226857304 0.5499875908257918 0.5625314805051562 0.3730792221559346 10.112625304799735 6.352044991727952 9 40000 138162 652
ENSG00000070759.16 0.0033190881646364056 0.008124642445375451 0.31668279315333353 0.5287302038417989 0.3030501604361203 0.15824932082421103 0.6760225409971059 0.49957394932573673 0.270646856755899 28.267237616710904 3.561733252657189 5 40000 138162 667
ENSG00000280670.2 0.039536917387328334 0.08349186907525225 0.3934021085104772 0.15758589366993644 0.2997647264403385 0.5208148494573157 0.22374904962536837 0.37426523336246675 0.48592894652533514 123.99864540803344 7.609572647711247 12 40000 138162 668
ENSG00000234329.1 0.8646940804458209  0.9655135373654038 0.8436591629416547  0.8436587417121316 0.012119743407984905   12.647399539062116 "<rpy2.rinterface.NULLType object at 0x2ae389590870> [RTYPES.NILSXP]" 2 40000 138162 675
ENSG00000086015.20 0.9226598616385344 0.10320661168008516 0.03325593165498937 0.8912043181341749 0.5800847653081658 0.3008441349417602 0.016998522321548304 0.057800940267040704 0.9430844608509306 16.875533428499946 3.7418564987403116 5 40000 138162 680
ENSG00000117481.10 0.8117965030219165 0.9718463200748302 0.9838051301647363 0.030789419485872317 0.07715504975268986 0.49798620032656127 0.4653334391604792 0.5435832455939493 0.4074545060778957 68.95335594758723 6.069638809364345 7 40000 138162 687
ENSG00000117480.15 0.7576917078352006 0.6740310477244611 0.4048876300031774 0.46951996855612277 0.6774747666058635 0.6131171272637883 0.08943988053073347 0.2221435313649937 0.7241490193145493 19.897816570787196 11.44278100531131 12 40000 138162 688
ENSG00000269956.1 0.8579534020838336 0.9838323982674628 0.9811529306245712 0.7627583854999013 0.8846042220873644 0.6946390612139661 0.44142038781189186 0.6560014985604247 0.6165790288745234 13.215910627086538 3.137604112792609 6 40000 138162 690
ENSG00000079277.19 0.33831818858035234 0.5760106691081028 0.6658748203410576 0.7445098917988263 0.7293857056611543 0.4687586678033624 0.7299602910940794 0.7044573076060874 0.4456808941770114 24.24993019015807 3.6753281015445944 11 40000 138162 691
ENSG00000142961.14 0.504316658396496 0.5893952263276913 0.4342365005162825 0.5808619626733958 0.6574842787211659 0.4650035746978953 0.8687193205085921 0.7938321143418694 0.5097632142562312 25.779103533693362 4.002571788310996 6 40000 138162 692
ENSG00000159658.10 0.9434661425268651 0.27897759410653444 0.11042145264590976 0.8803388258574277 0.9842376841764048 0.9239486048416332 0.26851002195323803 0.31894959954119084 0.30293964131293066 27.466392985611293 3.8116943659441365 5 40000 138162 694
ENSG00000224805.2 0.2585637150738146 0.15850203823722905 0.12075332041825756 0.18288439781153296 0.0680456058707718 0.05774068851195997 0.39473615532890893 0.5813179351940001 0.5481065374845253 11.908583721960118 2.8140455796741137 9 40000 138162 696
ENSG00000162366.7 0.019791019576613524 0.05243653866898478 0.4947763267445072 0.8857935692013014 0.9457167233051245 0.7629170793392932 0.19554829062152473 0.3592160415388239 0.5416667786865546 15.033052437168207 12.155146205588105 10 40000 138162 697
